date,Avg Hourly Earnings,CPI,Job Openings,Layoffs,Quits,Total Nonfarm Employment,Underemployment Rate (U6),Unemployment Rate (U3),Real Wages
2024-06-01,35.0,314.175,7412.0,1467.0,3284.0,157915.0,7.4,4.1,11.140288056019735
2024-07-01,35.07,314.54,7504.0,1745.0,3390.0,158003.0,7.8,4.2,11.149615311248171
2024-08-01,35.23,314.796,7649.0,1697.0,3177.0,158074.0,7.8,4.2,11.191374731572191
2024-09-01,35.33,315.301,7103.0,1844.0,3085.0,158314.0,7.7,4.1,11.205165857387069
2024-10-01,35.48,315.664,7615.0,1788.0,3217.0,158358.0,7.7,4.1,11.23979928024735
2024-11-01,35.61,315.493,8031.0,1739.0,3032.0,158619.0,7.7,4.2,11.287096702620977
2024-12-01,35.68,315.605,7508.0,1669.0,3095.0,158942.0,7.5,4.1,11.30527082904263
2025-01-01,35.83,317.671,7762.0,1674.0,3256.0,159053.0,7.5,4.0,11.278964715066845
2025-02-01,35.9,319.082,7480.0,1780.0,3250.0,159155.0,8.0,4.1,11.251026381933169
2025-03-01,36.02,319.799,7200.0,1590.0,3344.0,159275.0,7.9,4.2,11.263324775874848
2025-04-01,36.08,320.795,7395.0,1789.0,3215.0,159433.0,7.8,4.2,11.247058090057513
2025-05-01,36.23,321.465,7712.0,1611.0,3270.0,159452.0,7.8,4.2,11.270278257353056
2025-06-01,36.31,322.561,7357.0,1796.0,3209.0,159439.0,7.7,4.1,11.256785538239281
2025-07-01,36.43,323.048,7208.0,1787.0,3166.0,159511.0,7.9,4.2,11.276961937544886
2025-08-01,36.58,323.976,7227.0,1725.0,3091.0,159485.0,8.1,4.3,11.290959824184506
2025-09-01,36.65,324.8,7658.0,1781.0,3128.0,159593.0,8.0,4.4,11.283866995073891
2025-10-01,36.81,,7670.0,1854.0,2941.0,159488.0,,,
2025-11-01,36.86,,,,,159552.0,8.7,4.6,
